,category,score
170,politics,-0.5
171,sport,0
172,business,-0.2
173,politics,-0.4
174,politics,-0.5
175,business,-0.1
176,entertainment,0.3
177,sport,0.1
178,business,-0.5
179,business,0
180,sport,0.3
181,tech,-0.5
182,sport,0.1
183,tech,-0.2
184,tech,0.4
185,sport,0.2
186,business,-0.1
187,sport,0.3
188,politics,-0.5
189,entertainment,0.5
190,politics,0
191,business,-0.4
192,politics,-0.4
193,business,-0.3
194,tech,0.1
195,politics,0
196,entertainment,0
197,politics,0
198,tech,-0.1
199,business,-0.5
200,sport,0.3
201,business,-0.2
202,sport,0.1
203,tech,0.1
204,entertainment,0.4
205,business,-0.3
206,politics,-0.3
207,politics,-0.6
208,entertainment,0
209,sport,-0.4
210,entertainment,-0.2
211,politics,-0.5
212,sport,0.3
213,entertainment,0
214,sport,0
215,sport,0.1
216,entertainment,-0.1
217,sport,-0.1
218,politics,-0.3
219,politics,0
220,entertainment,0.4
221,tech,0.3
222,sport,0.1
223,politics,-0.5
224,business,-0.1
225,entertainment,-0.2
226,tech,-0.1
227,sport,0.1
228,tech,0
229,sport,0.2
230,entertainment,-0.1
231,politics,-0.2
232,sport,-0.1
233,entertainment,-0.1
234,tech,-0.2
235,business,-0.1
236,tech,0
237,business,-0.2
238,business,0
239,tech,-0.3
240,business,-0.1
241,sport,0.2
242,business,0.1
243,sport,-0.1
244,business,0
245,sport,-0.3
246,entertainment,0.1
247,business,0
248,business,0
249,entertainment,0.1
250,sport,0.2
251,sport,0.2
252,politics,-0.5
253,tech,0
254,politics,-0.2
255,politics,-0.4
256,politics,0
257,tech,0.1
258,sport,0.2
259,tech,0
260,politics,-0.4
261,business,0.1
262,tech,0
263,entertainment,0
264,tech,-0.3
265,sport,-0.1
266,sport,0.1
267,business,0
268,business,-0.4
269,politics,-0.5
270,business,-0.3
271,tech,-0.1
272,sport,0.6
273,entertainment,0.4
274,sport,0
275,politics,-0.3
276,tech,0
277,entertainment,0.2
278,business,-0.1
279,sport,0.1
280,entertainment,0.3
281,sport,-0.2
282,tech,0
283,politics,-0.3
284,tech,0
285,business,0.2
286,business,0
287,politics,-0.3
288,politics,-0.3
289,sport,0
290,business,-0.4
291,tech,-0.5
292,entertainment,0.3
293,politics,-0.1
294,tech,-0.3
295,business,-0.3
296,entertainment,0
297,sport,-0.5
298,entertainment,0.5
299,sport,0
300,entertainment,0
301,politics,-0.5
302,business,-0.2
303,sport,0.2
304,business,-0.2
305,sport,0.4
306,sport,0.1
307,entertainment,0.5
308,sport,0.4
309,politics,-0.5
310,politics,-0.3
311,business,-0.1
312,entertainment,0.2
313,tech,0
314,business,0
315,sport,0.4
316,business,0
317,entertainment,0.4
318,business,0
319,business,-0.3
320,business,-0.2
321,politics,-0.4
322,business,-0.2
323,politics,-0.3
324,entertainment,0.1
325,entertainment,0.2
326,business,-0.1
327,sport,0.2
328,business,0
329,politics,-0.4
330,business,-0.1
331,tech,0
332,entertainment,0.2
333,business,-0.3
334,sport,-0.1
335,sport,-0.5
336,entertainment,-0.5
337,business,-0.5
338,business,-0.1
339,politics,-0.4
340,tech,0
341,entertainment,0.1
342,tech,0
343,politics,0
344,business,-0.3
345,sport,-0.3
346,politics,-0.4
347,business,-0.5
348,entertainment,-0.2
349,tech,0.1
350,entertainment,0.3
351,tech,0
352,politics,-0.5
353,sport,0
354,entertainment,0.1
355,business,0
356,politics,-0.2
357,business,-0.2
358,business,0
359,politics,0
360,sport,0.4
361,tech,-0.4
362,business,-0.3
363,business,-0.3
364,entertainment,0
365,entertainment,0.4
366,tech,-0.2
367,sport,0.2
368,business,-0.3
369,entertainment,0
370,tech,-0.1
371,tech,-0.4
372,entertainment,0.2
373,entertainment,0.1
374,entertainment,0
375,politics,-0.4
376,sport,-0.3
377,politics,-0.2
378,tech,-0.1
379,business,0.1
380,entertainment,-0.1
381,politics,-0.5
382,business,0
383,entertainment,-0.2
384,politics,0
385,politics,-0.1
386,sport,0.2
387,sport,0.1
388,business,-0.4
389,politics,-0.3
390,entertainment,-0.1
391,business,0.1
392,sport,0
393,business,-0.2
394,business,0
395,sport,-0.2
396,business,-0.5
397,politics,-0.5
398,politics,-0.2
399,politics,-0.3
400,sport,0
401,tech,-0.1
402,tech,-0.3
403,business,-0.2
404,tech,0
405,sport,0.2
406,entertainment,0.3
407,business,-0.2
408,politics,-0.3
409,business,-0.3
410,entertainment,-0.3
411,business,-0.2
412,politics,0
413,entertainment,0
414,politics,-0.4
415,business,-0.2
416,tech,-0.2
417,business,-0.2
418,sport,0.2
419,sport,0
420,business,-0.1
421,sport,0.2
422,sport,-0.3
423,entertainment,0.2
424,sport,0
425,sport,-0.4
426,sport,-0.2
427,tech,0
428,business,-0.2
429,business,-0.5
430,business,-0.2
431,politics,-0.2
432,sport,-0.1
433,sport,0
434,business,-0.4
435,tech,0
436,business,0
437,politics,-0.4
438,sport,0
439,politics,-0.2
440,tech,0.1
441,business,0
442,sport,0
443,entertainment,0.3
444,business,-0.1
445,politics,-0.4
446,tech,0
447,business,-0.4
448,sport,-0.1
449,business,0
450,politics,-0.2
451,business,-0.4
452,business,-0.1
453,sport,0
454,entertainment,-0.2
455,tech,0
456,politics,-0.3
457,tech,0
458,business,-0.2
459,sport,-0.1
460,business,-0.3
461,entertainment,0
462,tech,0
463,tech,-0.4
464,business,0
465,sport,-0.2
466,sport,0.2
467,entertainment,-0.1
468,politics,-0.4
469,politics,-0.5
470,politics,-0.1
471,sport,0
472,politics,-0.5
473,tech,0
474,tech,0.1
475,entertainment,0.1
476,politics,-0.2
477,tech,-0.4
478,entertainment,-0.2
479,business,-0.5
480,sport,0.1
481,sport,0
482,tech,-0.1
483,business,-0.1
484,sport,0.2
485,sport,0
486,politics,-0.4
487,sport,0
488,sport,0.1
489,business,-0.2
490,sport,0.3
491,entertainment,0.2
492,tech,0.3
493,politics,-0.2
494,sport,-0.3
495,politics,-0.3
496,tech,0
497,business,-0.2
498,business,-0.1
499,business,0
500,tech,0
501,business,-0.2
502,business,-0.1
503,sport,-0.4
504,sport,0.4
505,sport,0.2
506,sport,0.1
507,business,-0.4
508,tech,0
509,entertainment,-0.5
510,sport,-0.1
511,sport,0
512,tech,0
513,business,0.1
514,tech,-0.2
515,entertainment,-0.3
516,politics,-0.3
517,sport,0
518,business,-0.5
519,politics,-0.5
520,business,-0.2
521,tech,0
522,tech,0.1
523,politics,-0.3
524,tech,0.1
525,business,-0.2
526,sport,-0.2
527,business,-0.3
528,entertainment,0.3
529,sport,0
530,politics,-0.2
531,entertainment,-0.5
532,sport,-0.2
533,sport,0.2
534,politics,-0.3
535,tech,0
536,entertainment,0
537,tech,-0.4
538,sport,-0.6
539,politics,-0.1
540,business,-0.4
541,entertainment,-0.3
542,politics,-0.3
543,business,-0.1
544,entertainment,0.4
545,sport,0
546,sport,0.2
547,tech,-0.2
548,politics,-0.3
549,entertainment,0
550,politics,-0.4
551,entertainment,0
552,politics,-0.1
553,tech,0.2
554,politics,-0.4
555,entertainment,0
556,sport,0
557,business,0.2
558,sport,0.4
559,entertainment,-0.1
560,sport,0.3
561,entertainment,0
562,tech,0
563,business,-0.1
564,sport,0.2
565,politics,-0.5
566,entertainment,0
567,politics,-0.4
568,entertainment,0.1
569,entertainment,0.3
570,entertainment,-0.5
571,politics,-0.3
572,entertainment,0
573,tech,-0.2
574,politics,-0.1
575,tech,-0.4
576,tech,-0.1
577,sport,0
578,sport,0.2
579,tech,0
580,tech,-0.1
581,sport,-0.3
582,entertainment,0.4
583,entertainment,0.4
584,sport,-0.3
585,tech,0
586,entertainment,0
587,sport,0.7
588,sport,-0.4
589,tech,0
590,business,-0.4
591,politics,-0.2
592,tech,0
593,business,-0.1
594,sport,0
595,entertainment,-0.1
596,sport,-0.2
597,entertainment,0.1
598,politics,-0.2
599,tech,-0.5
600,entertainment,0.3
601,entertainment,0.1
602,business,-0.3
603,entertainment,0
604,entertainment,0
605,sport,0
606,tech,-0.3
607,tech,-0.1
608,politics,-0.5
609,sport,0
610,tech,0
611,sport,0.3
612,politics,-0.2
613,politics,-0.3
614,entertainment,-0.3
615,tech,0.1
616,business,-0.4
617,tech,0
618,tech,0
619,tech,0.1
620,business,0
621,politics,-0.5
622,politics,-0.6
623,sport,0.3
624,tech,0.2
625,business,-0.1
626,business,-0.1
627,entertainment,0
628,entertainment,0.1
629,sport,0.3
630,tech,-0.2
631,business,-0.3
632,tech,-0.4
633,entertainment,0
634,sport,-0.4
635,tech,0.1
636,politics,0
637,tech,0
638,politics,-0.5
639,business,-0.2
640,politics,-0.4
641,politics,-0.4
642,business,-0.6
643,sport,-0.1
644,tech,-0.3
645,sport,0.4
646,tech,0.2
647,politics,-0.4
648,entertainment,-0.2
649,tech,0
650,sport,0
651,entertainment,-0.2
652,tech,0.1
653,sport,0.2
654,politics,-0.4
655,entertainment,-0.1
656,sport,0.1
657,tech,-0.5
658,sport,0.4
659,sport,0
660,politics,-0.3
661,entertainment,-0.4
662,business,0
663,politics,-0.5
664,entertainment,0
665,business,-0.1
666,business,0
667,tech,-0.2
668,business,-0.4
669,entertainment,0.4
670,tech,-0.1
671,sport,-0.2
672,tech,-0.3
673,politics,-0.1
674,tech,-0.4
675,politics,-0.2
676,business,-0.3
677,politics,-0.3
678,entertainment,-0.1
679,sport,0.1
680,business,0
681,business,-0.4
682,business,-0.2
683,entertainment,-0.1
684,sport,0
685,business,-0.2
686,entertainment,0.3
687,entertainment,0
688,sport,0.1
689,entertainment,0.2
690,politics,-0.4
691,politics,-0.3
692,politics,-0.2
693,sport,0.3
694,sport,0.2
695,sport,0.2
696,tech,0
697,politics,-0.4
698,sport,0
699,politics,-0.4
700,politics,-0.2
701,tech,-0.2
702,politics,-0.3
703,sport,0.2
704,business,-0.1
705,entertainment,-0.3
706,sport,0
707,business,-0.2
708,business,-0.5
709,tech,-0.1
710,business,-0.4
711,entertainment,-0.4
712,entertainment,0.4
713,entertainment,-0.1
714,business,-0.1
715,entertainment,0.3
716,entertainment,0.2
717,politics,-0.5
718,tech,-0.4
719,business,-0.2
720,sport,-0.1
721,tech,-0.4
722,sport,0.2
723,sport,-0.1
724,politics,-0.2
725,business,0
726,sport,0.4
727,tech,-0.5
728,business,-0.4
729,sport,0
730,tech,-0.4
731,sport,0.1
732,sport,0.1
733,entertainment,0.2
734,sport,-0.5
735,business,-0.2
736,sport,0
737,business,0.2
738,tech,-0.4
739,politics,0
740,tech,-0.3
741,business,-0.2
742,sport,-0.2
743,sport,0.1
744,business,-0.4
745,business,-0.1
746,business,0
747,business,-0.2
748,politics,-0.3
749,sport,0
750,business,-0.3
751,tech,-0.3
752,business,-0.6
753,sport,0
754,politics,-0.4
755,business,-0.5
756,tech,0
757,business,-0.2
758,sport,-0.3
759,business,-0.2
760,politics,-0.4
761,entertainment,0
762,sport,-0.5
763,business,-0.1
764,politics,-0.2
765,business,-0.2
766,entertainment,-0.1
767,business,-0.2
768,business,-0.3
769,business,-0.1
770,sport,0.1
771,politics,-0.5
772,entertainment,0
773,sport,0
774,politics,-0.4
775,sport,-0.1
776,politics,-0.3
777,politics,-0.4
778,business,-0.2
779,business,-0.4
780,sport,0
781,tech,0
782,entertainment,0.1
783,sport,-0.1
784,entertainment,-0.2
785,business,-0.2
786,business,-0.2
787,business,-0.4
788,tech,-0.2
789,sport,0.2
790,tech,0
791,politics,-0.3
792,tech,-0.1
793,tech,0.1
794,tech,0
795,sport,0.1
796,tech,0.1
797,tech,0
798,entertainment,0.2
799,entertainment,0
800,tech,-0.2
801,sport,0
802,entertainment,0
803,tech,-0.2
804,sport,0
805,sport,-0.1
806,business,-0.1
807,entertainment,0
808,tech,-0.4
809,business,-0.1
810,sport,0
811,business,-0.1
812,politics,-0.5
813,business,-0.5
814,entertainment,0.2
815,tech,0
816,business,-0.2
817,politics,-0.5
818,business,-0.3
819,tech,0.1
820,sport,0
821,business,-0.4
822,entertainment,0.1
823,business,0
824,politics,-0.5
825,sport,-0.3
826,entertainment,-0.3
827,politics,-0.2
828,sport,-0.2
829,business,0
830,sport,0.1
831,politics,-0.3
832,politics,-0.2
833,sport,-0.5
834,entertainment,-0.2
835,entertainment,-0.2
836,business,-0.1
837,business,-0.4
838,sport,-0.2
839,tech,-0.2
840,tech,-0.4
841,sport,0.1
842,entertainment,0.2
843,tech,0
844,tech,0.1
845,business,-0.1
846,sport,0.1
847,entertainment,-0.2
848,tech,0.1
849,sport,0
850,sport,0.3
851,business,-0.2
852,entertainment,0.1
853,business,0
854,business,-0.2
855,business,0
856,entertainment,0.2
857,sport,0
858,entertainment,0.1
859,tech,-0.1
860,tech,0
861,tech,0
862,politics,-0.1
863,tech,0
864,tech,-0.1
865,entertainment,-0.1
866,entertainment,0.2
867,sport,-0.3
868,sport,0
869,politics,-0.2
870,business,0
871,entertainment,0.1
872,sport,0
873,politics,-0.5
874,entertainment,0
875,tech,-0.1
876,politics,-0.4
877,tech,0.1
878,tech,-0.2
879,business,-0.1
880,entertainment,0
881,politics,0
882,tech,-0.1
883,politics,-0.3
884,politics,0
885,sport,0
886,politics,-0.2
887,politics,-0.4
888,entertainment,-0.2
889,tech,0
890,sport,0.2
891,politics,-0.5
892,sport,0.1
893,entertainment,0.1
894,politics,-0.2
895,business,-0.2
896,business,-0.3
897,politics,-0.4
898,sport,0.3
899,sport,-0.2
900,sport,-0.4
901,entertainment,0.4
902,tech,-0.2
903,tech,0
904,business,-0.1
905,entertainment,-0.1
906,sport,0.1
907,politics,-0.5
908,tech,0
909,politics,-0.5
910,entertainment,0
911,tech,-0.5
912,tech,-0.1
913,business,-0.3
914,business,0.1
915,sport,-0.2
916,business,-0.3
917,business,-0.3
918,tech,0
919,politics,-0.4
920,entertainment,-0.1
921,business,-0.3
922,business,0.1
923,business,-0.3
924,business,0
925,business,-0.1
926,tech,-0.2
927,sport,0.5
928,politics,-0.5
929,tech,0.1
930,tech,-0.4
931,business,0.4
932,business,0.3
933,entertainment,0.3
934,politics,-0.4
935,entertainment,0.1
936,sport,-0.3
937,tech,0.1
938,sport,0.2
939,entertainment,0.3
940,sport,0
941,tech,0
942,sport,0.2
943,business,-0.4
944,sport,0
945,politics,-0.4
946,politics,-0.5
947,entertainment,0
948,business,0
949,sport,0
950,politics,-0.6
951,politics,-0.4
952,sport,-0.1
953,entertainment,0.1
954,politics,-0.4
955,business,0
956,tech,0
957,sport,0.1
958,business,-0.3
959,business,0.1
960,business,-0.3
961,entertainment,0.3
962,entertainment,-0.5
963,tech,-0.5
964,tech,0
965,business,0.1
966,business,-0.3
967,entertainment,-0.4
968,sport,0
969,business,-0.2
970,entertainment,-0.3
971,tech,0.3
972,tech,0
973,business,-0.1
974,business,-0.4
975,sport,0
976,sport,0
977,sport,0.1
978,politics,-0.3
979,politics,-0.3
980,sport,0.3
981,politics,-0.5
982,sport,0
983,business,0
984,entertainment,0.3
985,sport,0
986,tech,-0.1
987,entertainment,0.2
988,sport,0.1
989,sport,0
990,business,-0.4
991,business,0
992,tech,-0.1
993,tech,-0.4
994,sport,-0.5
995,entertainment,0.2
996,sport,0.3
997,entertainment,-0.6
998,sport,0.1
999,entertainment,0.2
